shrouded, Thief, (  wearing  cape ), Sensation, Short, Lean, Oval Face, Fair Skin, Platinum Blonde Hair, ice blue Eyes, Short Nose, Full Lips, Receding Chin, Long Hair, Coarse Hair, Updo, augmented breasts, Drop earrings, fuchsia metallic lipstick, dragon lair
sacred, Thief, (  wearing  bandana ), Enchantress, Short, in shape, Oval Face, Tan Skin, Dark Brown Hair, teal Eyes, Short Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Fancy Updo, soft breasts, Dangle earrings, soft pink stain lipstick, underground dungeon
mythical, Assassin, (  wearing  monocle ), Temptress, Average Height, Slim, Square Face, Fair Skin, Auburn Hair, Amber Eyes, [[Curved Nose]], Thick Lips, Receding Chin, Long Hair, Coarse Hair, Formal Braided Updo, natural breasts, , plum cream lipstick, medieval castle
immemorial, Necromancer, (  wearing  parasol ), Woman, Short, Toned, Square Face, Dark Skin, Platinum Blonde Hair, ice blue Eyes, Narrow Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Fishtail Braid, full breasts, Huggie earrings, violet matte lipstick, mountain peak
ghostly, Bard, (  wearing  glasses ), Maven, Tall, Skinny, Oval Face, Tan Skin, Chestnut Hair, amethyst Eyes, Straight Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Bun, natural breasts, Huggie earrings, soft pink sheer lipstick, haunted mansion
primeval, Sorcerer, (  wearing  turban ), Starlet, Average Height, Fit, Square Face, Fair Skin, Chestnut Hair, gold Eyes, [[Curved Nose]], Pouty Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Sleek Waves, natural breasts, Hoop earrings, lavender sheer lipstick, enchanted garden
epic, Cleric, (  wearing  tie ), Belle, Tall, Thin, Round Face, Dark Skin, Black Hair, black Eyes, Short Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, French Braid, natural breasts, , mauve matte lipstick, forest clearing
astral, Knight, (  wearing  umbrella ), Madame, Short, in shape, Heart-Shaped Face, Fair Skin, Chestnut Hair, Amber Eyes, Straight Nose, Thin Lips, Round Chin, Long Hair, Curly Hair, Blunt Bangs, perky breasts, Dangle earrings, beige metallic lipstick, desert oasis
legendary, Bard, (  wearing  cowboy hat ), Trailblazer, Tall, in shape, Square Face, Fair Skin, Black Hair, silver Eyes, Long Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Stacked Bob, augmented breasts, Hoop earrings, coral cream lipstick, underground dungeon
magical, Wizard, (  wearing  tiara ), Baroness, Short, Lean, Round Face, Dark Skin, Red Hair, turquoise Eyes, Long Nose, Full Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Swept Bangs, augmented breasts, Huggie earrings, coral sheer lipstick, sunken ruins
mythical, Knight, (  wearing  headband ), Superwoman, Tall, Skinny, Diamond-Shaped Face, Dark Skin, Dark Brown Hair, purple Eyes, Narrow Nose, Thin Lips, Receding Chin, Long Hair, Wavy Hair, Braided Half Up, asymmetrical breasts, Dangle earrings, teal velvet lipstick, mountain peak
venerable, Enchanter, (  wearing  cowboy hat ), Woman, Average Height, Thin, Oval Face, Fair Skin, Brunette Hair, silver Eyes, Short Nose, Thin Lips, Sharp Chin, Long Hair, Wavy Hair, Sock Bun, asymmetrical breasts, Drop earrings, grape metallic lipstick, underground dungeon
ancient, Enchanter, (  wearing  bucket hat ), Luminary, Average Height, Firm, Round Face, Tan Skin, Gray Hair, jade Eyes, Straight Nose, Thick Lips, Prominent Chin, Long Hair, Straight Hair, Waterfall Braid, saggy breasts, Faux gauge earrings, peach velvet lipstick, enchanted garden
venerable, Alchemist, (  wearing  crown ), Luminary, Tall, in shape, Round Face, Tan Skin, Auburn Hair, hazel Eyes, Short Nose, Full Lips, Receding Chin, Long Hair, Curly Hair, Dutch Braid, asymmetrical breasts, Dangle earrings, cherry matte lipstick, sunken ruins
timeless, Paladin, (  wearing  parasol ), Starlet, Average Height, Thin, Heart-Shaped Face, Fair Skin, Auburn Hair, Green Eyes, Narrow Nose, Full Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Blunt Bangs, perky breasts, Cuff earrings, soft pink velvet lipstick, dragon lair
shrouded, Bard, (  wearing  crown ), Goddess, Tall, Firm, Diamond-Shaped Face, Fair Skin, Dark Brown Hair, grey Eyes, Wide Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Formal Updo, augmented breasts, , golden metallic lipstick, sunken ruins
daemonic, Sorcerer, (  wearing  shawl ), Phenom, Tall, Toned, Heart-Shaped Face, Tan Skin, Silver Hair, grey Eyes, Narrow Nose, Thin Lips, Sharp Chin, Long Hair, Coarse Hair, Four-Strand Braid, perky breasts, Huggie earrings, black cream lipstick, frozen tundra
transcendent, Monk, (  wearing  glasses ), Superwoman, Tall, Lean, Heart-Shaped Face, Tan Skin, Dark Brown Hair, aquamarine Eyes, [[Curved Nose]], Thin Lips, Round Chin, Shoulder-Length Hair, Straight Hair, High Chignon, saggy breasts, Stud earrings, rose velvet lipstick, mountain peak
illustrious, Ranger, (  wearing  sunglasses ), Madame, Tall, Slim, Round Face, Tan Skin, Gray Hair, Brown Eyes, Short Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Messy Top Knot, large breasts, , black stain lipstick, dragon lair
talismanic, Summoner, (  wearing  hat ), Diva, Short, Athletic, Heart-Shaped Face, Olive Skin, Auburn Hair, Blue Eyes with Green Flecks, Long Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Bouncy Curls, full breasts, Faux gauge earrings, burgundy cream lipstick, frozen tundra
magical, Ranger, (  wearing  beanie ), Dame, Short, Skinny, Heart-Shaped Face, Fair Skin, Light Brown Hair, Brown Eyes, Straight Nose, Thick Lips, Prominent Chin, Long Hair, Wavy Hair, Fishtail Crown Braid, firm breasts, Cuff earrings, plum matte lipstick, medieval castle
epic, Illusionist, (  wearing  beret ), Artist, Short, Fit, Triangular Face, Olive Skin, Black Hair, brown Eyes, Short Nose, Pouty Lips, Prominent Chin, Long Hair, Fine Hair, Top Knot, large breasts, Threader earrings, lavender satin lipstick, forest clearing
mystical, Wizard, (  wearing  glasses ), Sensation, Short, Toned, Oval Face, Olive Skin, White Hair, coral Eyes, Straight Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, Boho Braid, round breasts, Cuff earrings, pink gloss lipstick, forest clearing
shadowy, Summoner, (  wearing  bucket hat ), Songstress, Tall, Athletic, Round Face, Olive Skin, Gray Hair, Hazel Eyes with Green Flecks, Short Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Curly Afro, augmented breasts, , red velvet lipstick, forest clearing
timeless, Rogue, (  wearing  beret ), Belle, Average Height, Firm, Square Face, Olive Skin, Dark Brown Hair, green Eyes, Straight Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Boho Braid, asymmetrical breasts, Hoop earrings, plum metallic lipstick, forest clearing
