portrait, A garden where the flowers are made of stone and the bees are made of metal, Superwoman, Average Height, Narrow Hips, Oval Face, Fair Skin, Dark Brown Hair, light blue Eyes, Wide Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, Voluminous Waves, full breasts, Drop earrings, teal sheer lipstick, Realist Art
portrait, A landscape where the sky is made of fire and the ground is made of water, Escort, Average Height, Narrow Hips, Diamond-Shaped Face, Dark Skin, Brunette Hair, grey-blue Eyes, Straight Nose, Thin Lips, Receding Chin, Long Hair, Wavy Hair, Ballerina Bun, round breasts, Threader earrings, pink matte lipstick, baroque oil painting
portrait, A city where the buildings are made of jelly and the streets are covered in candy, Duchess, Average Height, Fit, Diamond-Shaped Face, Olive Skin, Chestnut Hair, brown Eyes, Short Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Smooth Waves, large breasts, Hoop earrings, pink matte lipstick, cubism oil painting
portrait, A landscape where the sky is made of fire and the ground is made of water, Female Viking, Tall, Fit, Oval Face, Dark Skin, Golden Blonde Hair, Brown Eyes, Short Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Angled Bob, saggy breasts, Clip-on earrings, coral metallic lipstick, tonalism oil painting
portrait, A world where gravity doesn't exist and everything floats in mid-air, Trailblazer, Average Height, Firm, Oval Face, Dark Skin, Golden Blonde Hair, turquoise Eyes, Short Nose, Full Lips, Sharp Chin, Long Hair, Coarse Hair, Formal Updo, large breasts, , black satin lipstick, expressionism oil painting
portrait, An ocean of clouds filled with floating islands and strange creatures, Starlet, Short, Lean, Square Face, Dark Skin, Dark Brown Hair, peach Eyes, [[Curved Nose]], Thin Lips, Sharp Chin, Long Hair, Coarse Hair, French Twist, perky breasts, , cream sheer lipstick, Minimalism
portrait, A place where time doesn't exist and everything is frozen in a single moment, Femme fatale, Short, Slim, Square Face, Fair Skin, Red Hair, hazel Eyes, Straight Nose, Pouty Lips, Round Chin, Long Hair, Curly Hair, Sleek Waves, asymmetrical breasts, Drop earrings, hot pink cream lipstick, hyperrealism oil painting
portrait, A city where the buildings are made of clouds and the streets are made of mist, Woman, Average Height, Narrow Hips, Heart-Shaped Face, Fair Skin, Golden Blonde Hair, black Eyes, Narrow Nose, Pouty Lips, Prominent Chin, Long Hair, Thick Hair, Fishtail Braid, perky breasts, Faux gauge earrings, soft pink cream lipstick, Neo-Expressionism
portrait, A world where the sky is made of cotton candy and the ground is made of cookie dough, Lady, Average Height, Firm, Diamond-Shaped Face, Tan Skin, Red Hair, aquamarine Eyes, Straight Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Fancy Updo, natural breasts, Stud earrings, violet gloss lipstick, Sculpture
portrait, A world where gravity doesn't exist and everything floats in mid-air, Dame, Tall, Skinny, Heart-Shaped Face, Tan Skin, Strawberry Blonde Hair, grey Eyes, Straight Nose, Thick Lips, Round Chin, Long Hair, Fine Hair, Long Straight Hair, large breasts, Threader earrings, mauve metallic lipstick, tonalism oil painting
portrait, An ocean of clouds filled with floating islands and strange creatures, Siren, Short, Wide Hips, Oval Face, Olive Skin, Strawberry Blonde Hair, red Eyes, Narrow Nose, Pouty Lips, Prominent Chin, Long Hair, Thick Hair, Formal Braided Updo, soft breasts, Hoop earrings, green matte lipstick, expressionism oil painting
