Sundresses, Superwoman, Average Height, Narrow Hips, Oval Face, Fair Skin, Dark Brown Hair, light blue Eyes, Wide Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, Voluminous Waves, full breasts, Drop earrings, teal sheer lipstick
Sleeveless dresses, Escort, Average Height, Narrow Hips, Diamond-Shaped Face, Dark Skin, Brunette Hair, grey-blue Eyes, Straight Nose, Thin Lips, Receding Chin, Long Hair, Wavy Hair, Ballerina Bun, round breasts, Threader earrings, pink matte lipstick
Rompers, Duchess, Average Height, Fit, Diamond-Shaped Face, Olive Skin, Chestnut Hair, brown Eyes, Short Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Smooth Waves, large breasts, Hoop earrings, pink matte lipstick
Caftans, Female Viking, Tall, Fit, Oval Face, Dark Skin, Golden Blonde Hair, Brown Eyes, Short Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Angled Bob, saggy breasts, Clip-on earrings, coral metallic lipstick
Spaghetti strap dresses, Trailblazer, Average Height, Firm, Oval Face, Dark Skin, Golden Blonde Hair, turquoise Eyes, Short Nose, Full Lips, Sharp Chin, Long Hair, Coarse Hair, Formal Updo, large breasts, , black satin lipstick
Short dresses, Starlet, Short, Lean, Square Face, Dark Skin, Dark Brown Hair, peach Eyes, [[Curved Nose]], Thin Lips, Sharp Chin, Long Hair, Coarse Hair, French Twist, perky breasts, , cream sheer lipstick
Sundresses, Femme fatale, Short, Slim, Square Face, Fair Skin, Red Hair, hazel Eyes, Straight Nose, Pouty Lips, Round Chin, Long Hair, Curly Hair, Sleek Waves, asymmetrical breasts, Drop earrings, hot pink cream lipstick
Caftans, Woman, Average Height, Narrow Hips, Heart-Shaped Face, Fair Skin, Golden Blonde Hair, black Eyes, Narrow Nose, Pouty Lips, Prominent Chin, Long Hair, Thick Hair, Fishtail Braid, perky breasts, Faux gauge earrings, soft pink cream lipstick
Spaghetti strap dresses, Lady, Average Height, Firm, Diamond-Shaped Face, Tan Skin, Red Hair, aquamarine Eyes, Straight Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Fancy Updo, natural breasts, Stud earrings, violet gloss lipstick
Wrap dresses, Dame, Tall, Skinny, Heart-Shaped Face, Tan Skin, Strawberry Blonde Hair, grey Eyes, Straight Nose, Thick Lips, Round Chin, Long Hair, Fine Hair, Long Straight Hair, large breasts, Threader earrings, mauve metallic lipstick
Maxi dresses, Siren, Short, Wide Hips, Oval Face, Olive Skin, Strawberry Blonde Hair, red Eyes, Narrow Nose, Pouty Lips, Prominent Chin, Long Hair, Thick Hair, Formal Braided Updo, soft breasts, Hoop earrings, green matte lipstick
Short dresses, Vixen, Tall, Fit, Triangular Face, Dark Skin, Auburn Hair, pink Eyes, Wide Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Sleek Bun, asymmetrical breasts, Clip-on earrings, burgundy cream lipstick
Sundresses, Starlet, Tall, Thin, Diamond-Shaped Face, Fair Skin, Dark Brown Hair, Sapphire Eyes, Short Nose, Full Lips, Round Chin, Long Hair, Fine Hair, Boho Braid, asymmetrical breasts, Dangle earrings, golden velvet lipstick
Short dresses, Diva, Tall, Skinny, Diamond-Shaped Face, Tan Skin, White Hair, black Eyes, Straight Nose, Thick Lips, Receding Chin, Long Hair, Fine Hair, Loose Waves, small breasts, Hoop earrings, violet sheer lipstick
Rompers, Starlet, Average Height, Firm, Round Face, Fair Skin, Strawberry Blonde Hair, Brown Eyes, Wide Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Straight Bob with Layers, perky breasts, Stud earrings, red metallic lipstick
Maxi dresses, Babe, Tall, Toned, Round Face, Tan Skin, Black Hair, dark brown Eyes, Narrow Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Messy Beach Waves, small breasts, Drop earrings, rose velvet lipstick
Short dresses, Empress, Tall, Thin, Square Face, Olive Skin, Strawberry Blonde Hair, teal Eyes, Long Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Stacked Bob, soft breasts, Hoop earrings, rust gloss lipstick
Halter dresses, Madam, Tall, Thin, Heart-Shaped Face, Olive Skin, Gray Hair, grey Eyes, Narrow Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Fringed Bangs, small breasts, Threader earrings, soft pink satin lipstick
Maxi dresses, Visionary, Average Height, Toned, Triangular Face, Fair Skin, Auburn Hair, Blue Eyes with Green Flecks, Wide Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Ballerina Bun, soft breasts, Huggie earrings, black stain lipstick
Spaghetti strap dresses, Temptress, Tall, Fit, Round Face, Olive Skin, Honey Blonde Hair, hazel Eyes, Narrow Nose, Thick Lips, Round Chin, Long Hair, Thick Hair, Bun, saggy breasts, Faux gauge earrings, fuchsia metallic lipstick
Wrap dresses, Belle, Tall, in shape, Diamond-Shaped Face, Olive Skin, Blonde Hair, grey-blue Eyes, Long Nose, Thick Lips, Prominent Chin, Long Hair, Thick Hair, Fishtail Braid, firm breasts, Faux gauge earrings, soft pink satin lipstick
Off-the-shoulder dresses, Goddess, Tall, Fit, Triangular Face, Fair Skin, Honey Blonde Hair, light blue Eyes, Long Nose, Thick Lips, Receding Chin, Long Hair, Thick Hair, Chignon, saggy breasts, Stud earrings, rose velvet lipstick
Spaghetti strap dresses, Songstress, Short, Narrow Hips, Square Face, Dark Skin, Golden Blonde Hair, hazel Eyes, Long Nose, Thick Lips, Sharp Chin, Long Hair, Wavy Hair, Formal Updo, small breasts, Huggie earrings, hot pink satin lipstick
