shrouded, armlet, cut-out swimsuits, Sensation, Short, Lean, Oval Face, Fair Skin, Platinum Blonde Hair, ice blue Eyes, Short Nose, Full Lips, Receding Chin, Long Hair, Coarse Hair, Updo, augmented breasts, Drop earrings, fuchsia metallic lipstick, Haunted Mansion, Elven Village, with a tidal pool in the background
sacred, ring, transparent blouses, Enchantress, Short, in shape, Oval Face, Tan Skin, Dark Brown Hair, teal Eyes, Short Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Fancy Updo, soft breasts, Dangle earrings, soft pink stain lipstick, Castle in the Clouds, Enchanted Garden, with a sunrise in the background
mythical, pectoral, mesh tops, Temptress, Average Height, Slim, Square Face, Fair Skin, Auburn Hair, Amber Eyes, [[Curved Nose]], Thick Lips, Receding Chin, Long Hair, Coarse Hair, Formal Braided Updo, natural breasts, , plum cream lipstick, Enchanted Castle, Goblin Market, with a sunrise in the background
immemorial, hair chain, cut-out leggings, Woman, Short, Toned, Square Face, Dark Skin, Platinum Blonde Hair, ice blue Eyes, Narrow Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Fishtail Braid, full breasts, Huggie earrings, violet matte lipstick, Mermaid's Castle, Gnome Hideout, with a canyon in the background
ghostly, earring, slit skirts, Maven, Tall, Skinny, Oval Face, Tan Skin, Chestnut Hair, amethyst Eyes, Straight Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Bun, natural breasts, Huggie earrings, soft pink sheer lipstick, Castle in the Clouds, Goblin Market, with a wild animal in the foreground
primeval, pectoral, deep V-neck tops, Starlet, Average Height, Fit, Square Face, Fair Skin, Chestnut Hair, gold Eyes, [[Curved Nose]], Pouty Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Sleek Waves, natural breasts, Hoop earrings, lavender sheer lipstick, Fairy Palace, Elven Village, with a star-filled sky in the background
epic, neck torque, cut-out swimsuits, Belle, Tall, Thin, Round Face, Dark Skin, Black Hair, black Eyes, Short Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, French Braid, natural breasts, , mauve matte lipstick, Crystal Palace, Giant's Staircase, with a rocky coastline in the background
astral, fibula, mesh tops, Madame, Short, in shape, Heart-Shaped Face, Fair Skin, Chestnut Hair, Amber Eyes, Straight Nose, Thin Lips, Round Chin, Long Hair, Curly Hair, Blunt Bangs, perky breasts, Dangle earrings, beige metallic lipstick, Enchanted Castle, Dragon's Roost, with a wild animal in the foreground
legendary, tiara, side cut-out dresses, Trailblazer, Tall, in shape, Square Face, Fair Skin, Black Hair, silver Eyes, Long Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Stacked Bob, augmented breasts, Hoop earrings, coral cream lipstick, Cave of Wonders, Dark Forest, with a glacier in the background
magical, ring, cut-out leggings, Baroness, Short, Lean, Round Face, Dark Skin, Red Hair, turquoise Eyes, Long Nose, Full Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Swept Bangs, augmented breasts, Huggie earrings, coral sheer lipstick, Dwarf Mine, Goblin Market, with an ocean view in the background
mythical, gemstone brooch, sheer tops, Superwoman, Tall, Skinny, Diamond-Shaped Face, Dark Skin, Dark Brown Hair, purple Eyes, Narrow Nose, Thin Lips, Receding Chin, Long Hair, Wavy Hair, Braided Half Up, asymmetrical breasts, Dangle earrings, teal velvet lipstick, Wizard's Tower, Mermaid's Lagoon, with a star-filled sky in the background
