Diva, Average Height, Lean, Round Face, Olive Skin, Silver Hair, Green Eyes, Short Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Sleek Waves, soft breasts, Hoop earrings, grape sheer lipstick,  inside ((  wearing  Golf pants and golf polo )), Dystopian metropolis
Luminary, Short, Toned, Triangular Face, Dark Skin, Platinum Blonde Hair, Blue Eyes, Narrow Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Loose Curls, small breasts, Cuff earrings, red satin lipstick,  inside ((  wearing  Compression top and yoga pants )), Desolate lunar surface
Belle, Average Height, Fit, Round Face, Tan Skin, Strawberry Blonde Hair, light blue Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, High Ponytail, augmented breasts, Dangle earrings, berry metallic lipstick,  inside ((  wearing  Boxing shorts and boxing tank top )), Alien planet with bioluminescent flora
Escort, Average Height, Wide Hips, Square Face, Olive Skin, Dark Brown Hair, yellow Eyes, Narrow Nose, Pouty Lips, Round Chin, Long Hair, Fine Hair, Long Curly Hair, augmented breasts, Huggie earrings, grape matte lipstick,  inside ((  wearing  leggings and tank top )), Dystopian metropolis
Diva, Average Height, Narrow Hips, Round Face, Fair Skin, Gray Hair, light blue Eyes, Straight Nose, Pouty Lips, Sharp Chin, Long Hair, Coarse Hair, Fauxhawk, soft breasts, Stud earrings, black metallic lipstick,  inside ((  wearing  Boxing shorts and boxing tank top )), Jungle planet filled with dangerous creatures
Visionary, Tall, Thin, Triangular Face, Dark Skin, Brunette Hair, grey-blue Eyes, [[Curved Nose]], Pouty Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Donut Bun, full breasts, Stud earrings, beige gloss lipstick,  inside ((  wearing  Surfing wetsuit )), Alien planet with bioluminescent flora
Queen, Short, Wide Hips, Oval Face, Olive Skin, Dark Brown Hair, grey-blue Eyes, Short Nose, Thick Lips, Receding Chin, Long Hair, Curly Hair, Braided Half Up, full breasts, Drop earrings, plum gloss lipstick,  inside ((  wearing  Athletic dress )), Barren desert planet
Woman, Tall, Narrow Hips, Diamond-Shaped Face, Tan Skin, Light Brown Hair, amethyst Eyes, Long Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Bun, asymmetrical breasts, Clip-on earrings, coral gloss lipstick,  inside ((  wearing  Yoga pants and loose tank top )), Giant space station
Belle, Average Height, in shape, Square Face, Fair Skin, Chestnut Hair, hazel Eyes, Long Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Fringed Bangs, full breasts, Drop earrings, gloss stain lipstick,  inside ((  wearing  Zumba pants and dance tank top )), Frozen tundra with icy mountains
Trailblazer, Short, Slim, Oval Face, Fair Skin, Gray Hair, amber Eyes, Short Nose, Thick Lips, Receding Chin, Long Hair, Straight Hair, French Roll, natural breasts, Dangle earrings, terracotta gloss lipstick,  inside ((  wearing  Capri leggings and racerback tank top )), Barren desert planet
Duchess, Short, Narrow Hips, Heart-Shaped Face, Tan Skin, Chestnut Hair, amethyst Eyes, Short Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Fancy Updo, soft breasts, Drop earrings, pink gloss lipstick,  inside ((  wearing  Boxing shorts and boxing tank top )), Giant space station
