Gold, bib necklace, Superwoman, Average Height, Narrow Hips, Oval Face, Fair Skin, Dark Brown Hair, light blue Eyes, Wide Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, Voluminous Waves, full breasts, Drop earrings, teal sheer lipstick, Yellow Lace Halter Bralette and Thong Set
Osmium, necklace, Escort, Average Height, Narrow Hips, Diamond-Shaped Face, Dark Skin, Brunette Hair, grey-blue Eyes, Straight Nose, Thin Lips, Receding Chin, Long Hair, Wavy Hair, Ballerina Bun, round breasts, Threader earrings, pink matte lipstick, White Sheer Teddy with Lace Trim
Radium, beaded bracelet, Duchess, Average Height, Fit, Diamond-Shaped Face, Olive Skin, Chestnut Hair, brown Eyes, Short Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Smooth Waves, large breasts, Hoop earrings, pink matte lipstick, Navy Blue Satin Garter Belt with Suspenders 
Rhenium, cocktail ring, Female Viking, Tall, Fit, Oval Face, Dark Skin, Golden Blonde Hair, Brown Eyes, Short Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Angled Bob, saggy breasts, Clip-on earrings, coral metallic lipstick, White Sheer Teddy with Lace Trim
Cadmium, cuff bracelet, Trailblazer, Average Height, Firm, Oval Face, Dark Skin, Golden Blonde Hair, turquoise Eyes, Short Nose, Full Lips, Sharp Chin, Long Hair, Coarse Hair, Formal Updo, large breasts, , black satin lipstick, Yellow Mesh Bralette and High-Waisted Panty Set
Gold, tennis bracelet, Starlet, Short, Lean, Square Face, Dark Skin, Dark Brown Hair, peach Eyes, [[Curved Nose]], Thin Lips, Sharp Chin, Long Hair, Coarse Hair, French Twist, perky breasts, , cream sheer lipstick, Lavender Lace Bra and Panty Set 
Germanium, anklet, Femme fatale, Short, Slim, Square Face, Fair Skin, Red Hair, hazel Eyes, Straight Nose, Pouty Lips, Round Chin, Long Hair, Curly Hair, Sleek Waves, asymmetrical breasts, Drop earrings, hot pink cream lipstick, Purple Velvet Robe with Fur Trim 
Germanium, ankle strap, Woman, Average Height, Narrow Hips, Heart-Shaped Face, Fair Skin, Golden Blonde Hair, black Eyes, Narrow Nose, Pouty Lips, Prominent Chin, Long Hair, Thick Hair, Fishtail Braid, perky breasts, Faux gauge earrings, soft pink cream lipstick, Maroon Satin and Lace Corset 
Platinum, chain bracelet, Lady, Average Height, Firm, Diamond-Shaped Face, Tan Skin, Red Hair, aquamarine Eyes, Straight Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Fancy Updo, natural breasts, Stud earrings, violet gloss lipstick, White Sheer Teddy with Lace Trim
Gallium, tennis bracelet, Dame, Tall, Skinny, Heart-Shaped Face, Tan Skin, Strawberry Blonde Hair, grey Eyes, Straight Nose, Thick Lips, Round Chin, Long Hair, Fine Hair, Long Straight Hair, large breasts, Threader earrings, mauve metallic lipstick, Green Satin and Lace Garter Belt with Matching Thong
Silver, necklace, Siren, Short, Wide Hips, Oval Face, Olive Skin, Strawberry Blonde Hair, red Eyes, Narrow Nose, Pouty Lips, Prominent Chin, Long Hair, Thick Hair, Formal Braided Updo, soft breasts, Hoop earrings, green matte lipstick, Pink Lace Garter Slip with Matching Thong
Silver, locket necklace, Vixen, Tall, Fit, Triangular Face, Dark Skin, Auburn Hair, pink Eyes, Wide Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Sleek Bun, asymmetrical breasts, Clip-on earrings, burgundy cream lipstick, Gold Strappy Bodysuit
Cadmium, watch bracelet, Starlet, Tall, Thin, Diamond-Shaped Face, Fair Skin, Dark Brown Hair, Sapphire Eyes, Short Nose, Full Lips, Round Chin, Long Hair, Fine Hair, Boho Braid, asymmetrical breasts, Dangle earrings, golden velvet lipstick, Ivory Lace Teddy
Silver, choker, Diva, Tall, Skinny, Diamond-Shaped Face, Tan Skin, White Hair, black Eyes, Straight Nose, Thick Lips, Receding Chin, Long Hair, Fine Hair, Loose Waves, small breasts, Hoop earrings, violet sheer lipstick, Black Sheer Teddy with Floral Applique
