autumn, A long cardigan with a tank top, leggings, and boots, Superwoman, Average Height, Narrow Hips, Oval Face, Fair Skin, Dark Brown Hair, light blue Eyes, Wide Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, Voluminous Waves, full breasts, Drop earrings, teal sheer lipstick
summer, A structured jumpsuit with espadrilles and a scarf, Escort, Average Height, Narrow Hips, Diamond-Shaped Face, Dark Skin, Brunette Hair, grey-blue Eyes, Straight Nose, Thin Lips, Receding Chin, Long Hair, Wavy Hair, Ballerina Bun, round breasts, Threader earrings, pink matte lipstick
winter, Turtleneck sweater with a long skirt and ankle boots, Duchess, Average Height, Fit, Diamond-Shaped Face, Olive Skin, Chestnut Hair, brown Eyes, Short Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Smooth Waves, large breasts, Hoop earrings, pink matte lipstick
autumn, A printed romper with heeled boots and a fedora, Female Viking, Tall, Fit, Oval Face, Dark Skin, Golden Blonde Hair, Brown Eyes, Short Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Angled Bob, saggy breasts, Clip-on earrings, coral metallic lipstick
summer, A short sundress with espadrilles and a straw tote, Trailblazer, Average Height, Firm, Oval Face, Dark Skin, Golden Blonde Hair, turquoise Eyes, Short Nose, Full Lips, Sharp Chin, Long Hair, Coarse Hair, Formal Updo, large breasts, , black satin lipstick
summer, A midi skirt with a tucked in tank and slides, Starlet, Short, Lean, Square Face, Dark Skin, Dark Brown Hair, peach Eyes, [[Curved Nose]], Thin Lips, Sharp Chin, Long Hair, Coarse Hair, French Twist, perky breasts, , cream sheer lipstick
spring, A printed romper with platform sandals and a straw hat, Femme fatale, Short, Slim, Square Face, Fair Skin, Red Hair, hazel Eyes, Straight Nose, Pouty Lips, Round Chin, Long Hair, Curly Hair, Sleek Waves, asymmetrical breasts, Drop earrings, hot pink cream lipstick
summer, A tank top with shorts and sneakers, Woman, Average Height, Narrow Hips, Heart-Shaped Face, Fair Skin, Golden Blonde Hair, black Eyes, Narrow Nose, Pouty Lips, Prominent Chin, Long Hair, Thick Hair, Fishtail Braid, perky breasts, Faux gauge earrings, soft pink cream lipstick
winter, Turtleneck sweater with a long skirt and ankle boots, Lady, Average Height, Firm, Diamond-Shaped Face, Tan Skin, Red Hair, aquamarine Eyes, Straight Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Fancy Updo, natural breasts, Stud earrings, violet gloss lipstick
autumn, A bomber jacket with a sweater dress and ankle boots, Dame, Tall, Skinny, Heart-Shaped Face, Tan Skin, Strawberry Blonde Hair, grey Eyes, Straight Nose, Thick Lips, Round Chin, Long Hair, Fine Hair, Long Straight Hair, large breasts, Threader earrings, mauve metallic lipstick
autumn, A bomber jacket with a sweater dress and ankle boots, Siren, Short, Wide Hips, Oval Face, Olive Skin, Strawberry Blonde Hair, red Eyes, Narrow Nose, Pouty Lips, Prominent Chin, Long Hair, Thick Hair, Formal Braided Updo, soft breasts, Hoop earrings, green matte lipstick
spring, An oversized blazer with black jeans and heels, Vixen, Tall, Fit, Triangular Face, Dark Skin, Auburn Hair, pink Eyes, Wide Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Sleek Bun, asymmetrical breasts, Clip-on earrings, burgundy cream lipstick
