pigeon pose, compression leggings and fitted top, Diva, Average Height, Lean, Round Face, Olive Skin, Silver Hair, Green Eyes, Short Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Sleek Waves, soft breasts, Hoop earrings, grape sheer lipstick
warrior stance, yoga tights and off-the-shoulder top, Luminary, Short, Toned, Triangular Face, Dark Skin, Platinum Blonde Hair, Blue Eyes, Narrow Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Loose Curls, small breasts, Cuff earrings, red satin lipstick
king pigeon pose, capri leggings and long sleeve top, Belle, Average Height, Fit, Round Face, Tan Skin, Strawberry Blonde Hair, light blue Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, High Ponytail, augmented breasts, Dangle earrings, berry metallic lipstick
boat pose, high-waisted leggings and crop top, Escort, Average Height, Wide Hips, Square Face, Olive Skin, Dark Brown Hair, yellow Eyes, Narrow Nose, Pouty Lips, Round Chin, Long Hair, Fine Hair, Long Curly Hair, augmented breasts, Huggie earrings, grape matte lipstick
tree pose, high-waisted leggings and crop top, Diva, Average Height, Narrow Hips, Round Face, Fair Skin, Gray Hair, light blue Eyes, Straight Nose, Pouty Lips, Sharp Chin, Long Hair, Coarse Hair, Fauxhawk, soft breasts, Stud earrings, black metallic lipstick
pigeon pose, compression leggings and fitted top, Visionary, Tall, Thin, Triangular Face, Dark Skin, Brunette Hair, grey-blue Eyes, [[Curved Nose]], Pouty Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Donut Bun, full breasts, Stud earrings, beige gloss lipstick
cow face pose, high-waisted leggings and crop top, Queen, Short, Wide Hips, Oval Face, Olive Skin, Dark Brown Hair, grey-blue Eyes, Short Nose, Thick Lips, Receding Chin, Long Hair, Curly Hair, Braided Half Up, full breasts, Drop earrings, plum gloss lipstick
garland pose, flowy pants and wrap top, Woman, Tall, Narrow Hips, Diamond-Shaped Face, Tan Skin, Light Brown Hair, amethyst Eyes, Long Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Bun, asymmetrical breasts, Clip-on earrings, coral gloss lipstick
triangle pose, flowy pants and wrap top, Belle, Average Height, in shape, Square Face, Fair Skin, Chestnut Hair, hazel Eyes, Long Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Fringed Bangs, full breasts, Drop earrings, gloss stain lipstick
sun salutation, yoga shorts and tank top, Trailblazer, Short, Slim, Oval Face, Fair Skin, Gray Hair, amber Eyes, Short Nose, Thick Lips, Receding Chin, Long Hair, Straight Hair, French Roll, natural breasts, Dangle earrings, terracotta gloss lipstick
sun salutation, bikram shorts and halter top, Duchess, Short, Narrow Hips, Heart-Shaped Face, Tan Skin, Chestnut Hair, amethyst Eyes, Short Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Fancy Updo, soft breasts, Drop earrings, pink gloss lipstick
warrior stance, yoga pants and sports bra, Miss, Short, Narrow Hips, Round Face, Olive Skin, Dark Brown Hair, dark brown Eyes, Narrow Nose, Thick Lips, Round Chin, Long Hair, Coarse Hair, Triple Braided Crown, small breasts, Hoop earrings, teal cream lipstick
triangle pose, yoga unitard, Babe, Tall, Thin, Oval Face, Olive Skin, Dark Brown Hair, pink Eyes, Long Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Fancy Updo, natural breasts, Drop earrings, black cream lipstick
cow face pose, capri leggings and long sleeve top, Escort, Average Height, Thin, Oval Face, Fair Skin, Light Brown Hair, Gray Eyes, Long Nose, Full Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Fauxhawk, large breasts, Stud earrings, beige velvet lipstick
hero pose, compression leggings and fitted top, Babe, Short, Fit, Square Face, Olive Skin, Gray Hair, jade Eyes, Wide Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Fringed Bangs, large breasts, Huggie earrings, red metallic lipstick
seated forward bend, high-waisted leggings and crop top, Femme fatale, Short, Slim, Round Face, Fair Skin, Blonde Hair, peach Eyes, Short Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Short Afro, asymmetrical breasts, Hoop earrings, rose metallic lipstick
shoulder stand, harem pants and loose tee, Countess, Tall, Skinny, Oval Face, Dark Skin, Honey Blonde Hair, Sapphire Eyes, Long Nose, Pouty Lips, Receding Chin, Long Hair, Wavy Hair, Formal Updo, firm breasts, Dangle earrings, violet velvet lipstick
downward dog, yoga unitard, Artist, Average Height, Toned, Diamond-Shaped Face, Olive Skin, Brunette Hair, teal Eyes, Short Nose, Full Lips, Prominent Chin, Long Hair, Thick Hair, Waterfall Braid, perky breasts, Cuff earrings, mauve sheer lipstick
extended puppy pose, yoga onesie, Charmer, Average Height, Wide Hips, Square Face, Fair Skin, White Hair, purple Eyes, Wide Nose, Pouty Lips, Receding Chin, Long Hair, Thick Hair, Bouncy Curls, large breasts, Dangle earrings, beige metallic lipstick
touching toes, high-waisted leggings and crop top, Charmer, Tall, Thin, Oval Face, Fair Skin, Gray Hair, ice blue Eyes, Long Nose, Thick Lips, Receding Chin, Long Hair, Curly Hair, Wavy Updo, augmented breasts, Dangle earrings, plum velvet lipstick
sun salutation, yoga onesie, Artist, Short, Toned, Heart-Shaped Face, Fair Skin, Gray Hair, Hazel Eyes with Green Flecks, Short Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Swept Bangs, augmented breasts, Hoop earrings, pink satin lipstick
downward dog, yoga pants and sports bra, Trailblazer, Tall, Toned, Heart-Shaped Face, Olive Skin, Auburn Hair, Sapphire Eyes, Wide Nose, Thin Lips, Prominent Chin, Long Hair, Thick Hair, Four-Strand Braid, round breasts, Huggie earrings, grape metallic lipstick
