Topaz, A crystalized specimen with a unique and rare formation, showcasing the wonders of mineralogy, Attired, Duchess, Short, in shape, Oval Face, Tan Skin, Chestnut Hair, Hazel Eyes, Wide Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Wedding Updo, full breasts, Faux gauge earrings, magenta metallic lipstick
Tourmaline, Crystals that grow in elongated shapes, forming elegant and elongated prismatic structures, Appareled, Baroness, Average Height, Narrow Hips, Diamond-Shaped Face, Tan Skin, Silver Hair, Amber Eyes, Wide Nose, Thick Lips, Prominent Chin, Long Hair, Fine Hair, Messy Beach Waves, asymmetrical breasts, Stud earrings, pink gloss lipstick
Obsidian, A crystalized specimen with a unique and rare formation, showcasing the wonders of mineralogy, Hooded, Superwoman, Average Height, Athletic, Triangular Face, Tan Skin, Gray Hair, Sapphire Eyes, Straight Nose, Thick Lips, Prominent Chin, Long Hair, Thick Hair, Bob with Bangs, large breasts, Threader earrings, mauve satin lipstick
Quartz, Transparent crystals that refract light, casting beautiful prisms and rainbows, Bedraped, Seductress, Short, Thin, Diamond-Shaped Face, Tan Skin, White Hair, Gray Eyes, Short Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Half Up Half Down, small breasts, Huggie earrings, berry gloss lipstick
Sapphire, Crystals that form in druzy clusters, covering a surface with a blanket of sparkling beauty, Arrayed, Enchantress, Tall, Slim, Oval Face, Fair Skin, White Hair, amethyst Eyes, Narrow Nose, Full Lips, Sharp Chin, Long Hair, Thick Hair, Triple Braided Crown, perky breasts, Faux gauge earrings, lavender metallic lipstick
Onyx, Crystals that form in a radial pattern, emanating from a central point like a burst of energy, Curtained, Femme fatale, Short, Slim, Round Face, Olive Skin, Black Hair, brown Eyes, Wide Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Bangs with Highlights, natural breasts, Drop earrings, soft pink velvet lipstick
Onyx, A network of crystalized branches, capturing the beauty of nature's delicate formations, Bedizened, Starlet, Short, Toned, Heart-Shaped Face, Tan Skin, Light Brown Hair, jade Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Long Hair, Fine Hair, Low Chignon, asymmetrical breasts, Faux gauge earrings, violet velvet lipstick
Tanzanite, A crystalized structure with layers of intricate formations, resembling an otherworldly landscape, Robed, Seductress, Average Height, Athletic, Oval Face, Olive Skin, Silver Hair, ice blue Eyes, Narrow Nose, Pouty Lips, Sharp Chin, Long Hair, Curly Hair, Half Up Half Down, full breasts, Huggie earrings, brown gloss lipstick
Obsidian, Interlocking crystals that form a lattice-like structure, resembling a work of natural art, Donned in, Maven, Average Height, Slim, Diamond-Shaped Face, Tan Skin, Chestnut Hair, grey Eyes, [[Curved Nose]], Full Lips, Prominent Chin, Long Hair, Straight Hair, Viking Braid, perky breasts, Hoop earrings, lavender metallic lipstick
Jade, A crystalized structure with layers of intricate formations, resembling an otherworldly landscape, Festooned, Miss, Short, Skinny, Diamond-Shaped Face, Olive Skin, Golden Blonde Hair, dark brown Eyes, [[Curved Nose]], Thick Lips, Prominent Chin, Long Hair, Coarse Hair, Waterfall Braid, saggy breasts, Drop earrings, violet satin lipstick
Hematite, A crystalized texture with a rough and faceted surface, displaying the raw beauty of natural minerals, Swathed, Lady, Tall, Narrow Hips, Round Face, Tan Skin, Light Brown Hair, Amber Eyes, Wide Nose, Thick Lips, Sharp Chin, Long Hair, Fine Hair, Loose Waves, round breasts, Threader earrings, peach metallic lipstick
